Time,4G,Bands,Bars,Cell ID(CID),eNBID,Reference Signal Received Power(RSRP),Reference Signal Received Quality(RSRQ),Received Signal Strength Indicator(RSSI),Signal to Interference & Noise Ratio(SINR),,5G,Bands,Bars,Cell ID(CID),gNBID,Reference Signal Received Power(RSRP),Reference Signal Received Quality(RSRQ),Received Signal Strength Indicator(RSSI),Signal to Interference & Noise Ratio(SINR)
5:11:09,,(b2),4,8,,-86,-10,-75,15,,,(n41),4,0,,-86,-4,-79,13
5:16:09,,(b2),5,8,,-84,-11,-73,16,,,(n41),4,0,,-85,-4,-79,15
5:21:09,,(b2),5,8,,-84,-11,-73,18,,,(n41),4,0,,-86,-4,-79,13
5:26:09,,(b2),5,8,,-83,-11,-71,17,,,(n41),4,0,,-87,-3,-84,15
5:31:09,,(b2),4,8,,-85,-9,-75,18,,,(n41),4,0,,-87,-3,-84,16
5:36:09,,(b2),5,8,,-84,-11,-73,14,,,(n41),4,0,,-85,-4,-81,16
5:41:10,,(b2),5,8,,-82,-11,-71,16,,,(n41),4,0,,-86,-4,-83,14
5:46:10,,(b2),5,8,,-83,-11,-72,17,,,(n41),4,0,,-86,-4,-81,14
5:51:10,,(b2),5,8,,-83,-11,-72,15,,,(n41),4,0,,-86,-4,-83,14
5:56:10,,(b2),5,8,,-83,-11,-72,15,,,(n41),4,0,,-86,-4,-83,16
6:01:10,,(b2),5,8,,-83,-12,-71,14,,,(n41),4,0,,-86,-5,-84,15
6:06:10,,(b2),5,8,,-82,-11,-71,15,,,(n41),4,0,,-87,-4,-83,12
6:11:11,,(b2),5,8,,-82,-10,-72,17,,,(n41),4,0,,-86,-4,-82,15
6:16:11,,(b2),5,8,,-83,-10,-73,14,,,(n41),4,0,,-86,-3,-83,18
6:21:11,,(b2),5,8,,-83,-11,-71,16,,,(n41),4,0,,-86,-3,-84,14
6:26:11,,(b2),5,8,,-83,-10,-72,19,,,(n41),4,0,,-86,-4,-83,19
6:31:11,,(b2),5,8,,-83,-9,-73,18,,,(n41),4,0,,-86,-6,-78,13
6:36:11,,(b2),5,8,,-83,-8,-75,19,,,(n41),4,0,,-88,-3,-85,16
6:41:11,,(b2),5,8,,-83,-9,-73,20,,,(n41),4,0,,-87,-3,-84,15
6:46:12,,(b2),5,8,,-84,-8,-75,20,,,(n41),4,0,,-86,-5,-78,16
6:51:12,,(b2),5,8,,-84,-10,-73,18,,,(n41),4,0,,-86,-5,-81,19
6:56:12,,(b2),5,8,,-83,-10,-73,17,,,(n41),4,0,,-86,-3,-84,15
7:01:12,,(b2),5,8,,-84,-10,-74,18,,,(n41),4,0,,-87,-4,-83,14
7:06:12,,(b2),5,8,,-83,-10,-72,19,,,(n41),4,0,,-85,-4,-83,13
7:11:12,,(b2),5,8,,-82,-10,-72,20,,,(n41),4,0,,-85,-3,-80,16
7:16:12,,(b2),5,8,,-83,-8,-74,19,,,(n41),4,0,,-87,-6,-74,14
7:21:13,,(b2),5,8,,-83,-11,-71,19,,,(n41),4,0,,-87,-5,-80,15
7:26:13,,(b2),5,8,,-82,-9,-73,20,,,(n41),4,0,,-87,-3,-83,12
7:31:13,,(b2),5,8,,-82,-9,-73,18,,,(n41),4,0,,-87,-5,-82,13
7:36:13,,(b2),5,8,,-83,-12,-71,14,,,(n41),4,0,,-86,-5,-81,15
7:41:13,,(b2),5,8,,-84,-11,-73,16,,,(n41),4,0,,-87,-3,-84,12
7:46:13,,(b2),5,8,,-83,-11,-72,16,,,(n41),4,0,,-85,-5,-78,13
7:51:13,,(b2),5,8,,-82,-11,-71,15,,,(n41),4,0,,-86,-3,-82,13
7:56:14,,(b2),5,8,,-82,-8,-74,16,,,(n41),4,0,,-86,-4,-83,12
8:01:14,,(b2),5,8,,-82,-7,-75,17,,,(n41),4,0,,-85,-5,-80,13
8:06:14,,(b2),5,8,,-82,-9,-72,16,,,(n41),4,0,,-86,-3,-83,13
8:11:14,,(b2),5,8,,-82,-10,-72,19,,,(n41),4,0,,-86,-2,-84,13
8:16:14,,(b2),5,8,,-82,-7,-74,17,,,(n41),4,0,,-86,-3,-83,14
8:21:14,,(b2),5,8,,-82,-8,-74,14,,,(n41),4,0,,-86,-3,-83,14
8:26:15,,(b2),5,8,,-82,-9,-72,14,,,(n41),4,0,,-86,-2,-83,14
8:31:15,,(b2),5,8,,-82,-8,-74,19,,,(n41),4,0,,-86,-3,-83,14
8:36:15,,(b2),5,8,,-82,-10,-72,20,,,(n41),4,0,,-86,-3,-83,14
8:41:15,,(b2),5,8,,-82,-8,-73,15,,,(n41),4,0,,-86,-2,-84,12
8:46:15,,(b2),5,8,,-82,-10,-71,18,,,(n41),4,0,,-86,-3,-84,12
